panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
056586614_p7933,56,,,-2.6935296948751724,47.64814887632807,3.456,3.456,,,0.8395,056586614.jpg,,none,none
056586614_p7934,56,,,-2.6936938150740657,47.64810358033931,1.173,1.173,,,0.8323,056586614.jpg,,none,none
056586681_p7935,56,,,-2.513652699161757,47.83306150076475,11.439,11.439,,,0.942,056586681.jpg,,none,none
056586813_p7936,56,,,-2.899071343635909,48.00071278165392,61.254,61.254,,,0.981,056586813.jpg,,none,none
056586893_p7937,56,,,-2.988595020492501,47.98327208444376,13.578,13.578,,,0.9766,056586893.jpg,,none,none
056586924_p7938,56,,,-3.262605917437812,47.79939980434852,16.462,16.462,,,0.963,056586924.jpg,,none,none
056587024_p7939,56,,,-3.252733071694841,47.79024272222436,13.238,13.238,,,0.9659,056587024.jpg,,none,none
056587183_p7940,56,,,-3.228420205630385,47.84022147815278,29.218,29.218,,,0.972,056587183.jpg,,none,none
056587217_p7941,56,,,-3.3644249664689334,47.931876436336516,11.849,11.849,,,0.9745,056587217.jpg,,none,none
056587226_p7942,56,,,-3.409650352600261,47.78292419894091,3.798,3.798,,,0.9287,056587226.jpg,,none,none
056587313_p7943,56,,,-3.0148863084148503,47.771012340404056,4.644,4.644,,,0.9442,056587313.jpg,,none,none
056587383_p7944,56,,,-3.1759409905638636,47.33499937589733,4.57,4.57,,,0.7816,056587383.jpg,,none,none
056587383_p7945,56,,,-3.1760414388090465,47.334986285829835,7.538,7.538,,,0.8863,056587383.jpg,,none,none
056587383_p7946,56,,,-3.1759438800323734,47.33496696617443,2.217,2.217,,,0.8278,056587383.jpg,,none,none
056587501_p7947,56,,,-3.2377847666347126,47.844031724424504,20.95,20.95,,,0.9323,056587501.jpg,,none,none
056587539_p7948,56,,,-2.824727363424543,47.9216567637133,14.074,14.074,,,0.9312,056587539.jpg,,none,none
056587539_p7949,56,,,-2.8247968950521583,47.92163446215938,8.796,8.796,,,0.8971,056587539.jpg,,none,none
056587625_p7950,56,56153_056587625,56153_056587625_r6,-2.3252305190043314,47.58893848510416,18.33,23.866,39.82,187.85,0.9692,056587625.jpg,0300_6735,stage2a_spatial,contains
056587697_p7951,56,56127_056587697,56127_056587697_r11,-2.354352489365384,48.04705818398631,182.545,191.091,17.2,171.26,0.9815,056587697.jpg,0301_6786,stage2a_spatial,contains
056587746_p7952,56,,,-3.271360683976895,47.793062090977735,38.598,38.598,,,0.951,056587746.jpg,,none,none
056587746_p7953,56,,,-3.2711947750896213,47.79302524589105,26.84,26.84,,,0.9646,056587746.jpg,,none,none
056587746_p7954,56,,,-3.271282687720127,47.79299967558589,4.857,4.857,,,0.8389,056587746.jpg,,none,none
056587871_p7955,56,56147_056587871,56147_056587871_r9,-2.28717470371814,47.53568880118007,16.859,23.859,45.04,185.27,0.9423,056587871.jpg,0302_6729,stage2a_spatial,contains
056587997_p7956,56,,,-3.270510998553921,47.79403490853136,14.277,14.277,,,0.9615,056587997.jpg,,none,none
056588013_p7957,56,,,-3.233455478152668,47.84609787239636,14.911,14.911,,,0.9652,056588013.jpg,,none,none
056588024_p7958,56,56126_056588024,56126_056588024_r5,-2.3400497980183546,47.51704884579291,12.844,15.401,33.49,193.62,0.9604,056588024.jpg,0298_6727,stage2a_spatial,contains
056588053_p7959,56,56194_056588053,56194_056588053_r12,-2.1108356903049788,47.588938550992815,11.64,15.076,39.46,181.17,0.9805,056588053.jpg,0316_6734,stage2a_spatial,contains
056588206_p7960,56,,,-3.011931570046425,47.77043599097504,25.929,25.929,,,0.9667,056588206.jpg,,none,none
056588206_p7961,56,,,-3.0118296817772605,47.77043317430273,2.436,2.436,,,0.8808,056588206.jpg,,none,none
056588390_p7962,56,,,-2.913785492047475,47.73677452912532,15.531,15.531,,,0.9697,056588390.jpg,,none,none
